,lon,lat
0,151.34500244,-33.4153284
1,152.93093959,-29.69971985
2,146.37887224,-35.99356277
3,150.60509273,-34.89303812
4,149.0015352,-32.23644991
5,150.91356364,-33.76919851
6,141.45902895,-31.95767729
7,152.14705764,-32.70789769
8,150.89324783,-31.0488241
9,147.36261928,-35.13004205
10,147.96854,-29.44969548
11,148.61829128,-33.52292234
12,153.52575916,-28.20277588
13,150.20561193,-35.73157522
14,149.4809217,-36.62935575
15,152.9950939,-30.63174023
16,151.09966684,-33.82317448
17,145.53453248,-33.47821767
18,151.68289977,-32.90394646
19,152.89971802,-31.44705607
20,151.11015871,-29.29830009
21,149.22746936,-35.37105277
22,150.90520943,-34.35824424
23,149.09687531,-33.2796852
24,142.23281069,-34.12469031
25,153.30027961,-28.8149964
26,146.04795457,-34.28453853
27,144.75114534,-36.0881696
28,148.24347295,-32.24005875
29,145.86720251,-31.50457241
30,150.71568922,-33.57568249
31,147.84134071,-34.42877756
32,149.77592477,-31.07203214
33,150.97554976,-32.7844333
34,149.71332975,-34.74521488
35,148.36318401,-34.59073767
36,151.67993142,-30.20934022
37,149.78913698,-30.3418935
38,146.93834148,-36.05207795
39,151.17474263,-33.88882854
40,150.00398259,-33.3772375
41,151.02177166,-33.93067399
42,147.21628986,-33.92180107
43,148.83242424,-36.39684466
44,149.85105596,-29.46679017
45,153.11678649,-30.27895612
46,150.5450302,-34.30623128
47,145.94587389,-30.08268274
48,144.0421335,-35.0958518
49,150.88802734,-32.03513718
50,144.83012857,-34.51798284
51,148.38107069,-30.9434456
52,148.18,-33.13699135
53,149.58109611,-33.41369651
54,150.25728618,-30.99590378
55,151.11459649,-29.80735505
56,148.1776693,-35.5392756
57,148.62937747,-31.96012596
58,150.70309977,-33.75558441
59,150.80950339,-34.08490949
60,150.84943228,-34.56531604
61,145.56211498,-35.72472452
62,146.56829691,-34.75861955
63,151.56573731,-33.14722259
64,150.34400931,-33.69735325
65,146.80179711,-33.35463692
66,151.08400104,-34.02705768
67,151.53423809,-32.71871091
68,147.32994608,-32.28972012
69,149.57888776,-32.60626396
70,153.33759944,-29.42872427
71,148.29907693,-34.31390195
72,148.89903589,-34.83834289
73,143.0454271,-30.51272839
74,151.31862342,-33.63614027
75,153.56790789,-28.84436316
76,151.21607261,-33.83033811
77,149.88920625,-36.89149023
