text,emotion
i feel less frightened and more sympathetic towards american muslims,worry
i have moved to our own royal apartments and my garden is restricted to my small balcony but i feel our produce and flowers are just at lovely,happiness
"I checked out the small bites served at the Bubble Bar before deciding if I should venture the tasting menu.  The artichoke soup with truffle was tasty, and the scallop two way (sauted and sashimi) was melt in mouth yummy. The lobster salad was eeehh. I don't think I'll be checking out their tasting menu based on my small bites experience.",neutral
i told you all i was feeling a bit unsure about the yellow print on the corners of this star block for a href http www,worry
"3.5 STARS  If you are desperate need for a hat - run to this store!  They have all kinds for men and women, ranging in different sizes.  From casual to fancy to hey I'm going to the Kentucky Derby, you'll find it here.  Staff seem to really know their stuff and there is even a small area where they sell feathers so you can add them to your hat!  I did overhear one person who came in because the had re-done her hat (I guess it was stretched out or needed re-fitting so I assume if you bought your hat from here and it needs some care they can help you out!)  The only thing is, while I loved a lot of the hats, the prices were a bit too steep for me.  Especially if I needed one for just an occasion.  But if you wear hat on a regular basis then I would spend the money to get the quality that is here  The sign at the front says it has been in business since 1895 and the inside has that dark library in a mansion kinda room feel to it which I love.  I almost expected to see people walking around with cigars for some strange reason",neutral
i feel angered help me see,hate
i read that as a partial explanation of why she was offended by harriet s shirt and why she feels others might have been offended too,hate
"I miss the Courtyard Cafe!! The remodel and the name change is nice but the cafe is much smaller. We do miss the old Courtyard Cafe and its menu especially the Southwestern Salad.The  menu which is now smaller, no where near as appealing and the prices have increased quite a bit. This is no longer a place to get a quick cheap meal. Soda is now $3.50 and we had to ask for a refill! Chicken salad on rye was good (but now  $12.99 lol!), potato salad had to much vinegar. Cream of chicken soup ($3.99 cup)was VERY bland and needed lots of salt and pepper plus it was OVERLOADED with  carrots, celery and huge chunks of chicken(?!?weird for a cream soup) open faced turkey ($12.99)was just okay. The stuffing was mushy, watery and the over powering sage flavor was just to much. When we left the long line to get in makes me wonder why they decreased the size of this place.",neutral
i am lying in the sun watching them i feel satisfied by their productivity as if they are my worker bees and i am their queen,fun
i told her the right brain has no fear and that the exercise will also help her whenever she s feeling frightened or worried about something,worry
i so enjoy that makes me feel so thoroughly amorous thinking of my beloved as i type and sip and think of him and of his kisses,happiness
i feel quite devastated when i have to rush away sometimes,sadness
